,dataItemDesc,dataItemDiv,dataItemTagsn,dataVal,fcltyMngNo,fcltyNm,itemUnit,no,occrrncDt
0,남강(취) 취수토출유량,M,6727,"9,355",4817011233,남강취수장,㎥/h,654,2022120102
1,대청(취) 유출 유량 적산차,D,15272,"13,020",4311011253,대청취수장,㎥,653,2022120102
2,충청 청주(정) 2단계 원수유량(현도) 적산차,D,15282,"15,369",4311011255,현도취수장,㎥,652,2022120102
3,사천(정)1단계 삼천포계통 송수유량,M,6654,978,4824012333,사천정수장,㎥/h,651,2022120102
4,홍성(가) 서산방면 유출유량,M,10050,"6,741",4480013456,홍성가압장,㎥/h,650,2022120102
5,논산(가) 유출유량,M,26650,859,4423013450,논산가압장,㎥/h,649,2022120102
6,사천(정)1단계 충무계통 송수유량,M,6653,"2,158",4824012333,사천정수장,㎥/h,648,2022120102
7,원동신(취) 유출유량 순시(통신),M,2387,"23,240",4833011239,원동취수장,㎥/h,647,2022120102
8,동화(정) 장수계통 송수유량,F,603,221,4574012385,동화정수장,㎥/h,646,2022120102
9,지등(가) 송수유량 적산차,D,1807,0,4677013478,지등가압장,㎥,645,2022120102
