cd_nm,lon,lat
강원도,128.3305196125498,37.691452626402075
경기도,127.0446426922413,37.44123133794397
경상남도,128.36962089092142,35.23479147268632
경상북도,128.72867822322095,36.28381039021848
광주광역시,126.8792924594247,35.155605175430296
대구광역시,128.58792533446083,35.85750598513778
대전광역시,127.39954504417251,36.34179094703109
부산광역시,129.05961134021155,35.156234851179654
서울특별시,126.99570517443462,37.54723123941003
세종특별자치시,127.26781079682337,36.53273128584873
울산광역시,129.3243144718638,35.540864024193546
인천광역시,126.62242260742973,37.50058294238956
전라남도,126.9255991984375,34.86900316949653
전라북도,127.04722061209782,35.74255675377091
제주특별자치도,126.531654589372,33.412628562801935
충청남도,126.88194686121253,36.52502025220611
충청북도,127.7498474089947,36.738690042374344
